authors,year,journal,title,location/experiment descriptor,exp ID
"Sollenberger D, Kadlec C, O'Shaughnessy, Egerton-Warburton L",2016,Restoration Ecology,Environmental filtering mediates grassland community assembly following restoration with soil carbon additions,,59
"Souza L, Bunn WA, Weltzin JF, Sanders NJ",2011,Biological Invasions,Similar biotic factors affect early establishment and abundance of an invasive plant species across spatial scales,,60
"Steers RJ, Funk JL, Allen EB",2011,Ecological Applications,Can resource-use traits predict native vs. exotic plant success in carbon amended soils?,,61
Summerhays JCR,2011,not peer-reviewed; Utah State University master's thesis,Effects of non-surface-disturbing treatments for native grass revegetation on cheatgrass (Bromus tectorum L.) metrics and soil ion availabilities,sagebrush,62
Summerhays JCR,2011,not peer-reviewed; Utah State University master's thesis,Effects of non-surface-disturbing treatments for native grass revegetation on cheatgrass (Bromus tectorum L.) metrics and soil ion availabilities,cheatgrass,63
"Vinton MA, Goergen EM",2006,Ecosystems,Plant-soil feedbacks contribute to the persistence of Bromus inermis in tallgrass prairie,,64
"Wilson SD, Gerry AK",1995,Restoration Ecology,"Strategies for mixed-grass prairie restoration - herbicide, tilling, and nitrogen manipulation",,65
"Peltzer DA, Wilson SD, Gerry AK",1998,The American Naturalist,Competition intensity along a productivity gradient in a low-diversity grassland,,65
"Gendron F, Wilson D",2007,Plant Ecology,Responses to fertility and disturbance in a low-diversity grassland,,65
"Wilson SD, Pinno BD",2013,Oikos,Environmentally-contingent behaviour of invasive plants as drivers or passengers,,65
Blumenthal DM,2009,Biological Invasions,Carbon addition interacts with water availability to reduce invasive forb establishment in a semi-arid grassland,,66
