"paper","cross","paper_ID","exp_ID","cntrl_ID","obs_ID","biome","climate","region","soil_suborder","duration_first","duration_last","C_type","C_rate","C_app","C_app_tm","C_app_ma","C_app_py","C_app_ty","C_total","C_year","plant","plant_category","plant_anper","plant_gfs","plant_apgfs","plant_measurement","presence","prior_veg","removal_extent","seeding_exotic","seeding_native","plot","factorial","n_trt","n_cntrl","mean_trt","SD_trt","mean_cntrl","SD_cntrl","yi","vi","dfc","dlc","cratc","capc","capm","capt","plotc","seedn"
"Blumenthal_2003","2000 harvest",6,7,11,172,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1330,1,0,0,1,1,1330,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.1145,0.175312102643638,0,0,0.962771000650716,0.463013066651366,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,173,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1675,1,0,0,1,1,1675,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.002,0.004,0,0,0.737054185538849,0.443829110287683,"12-18","13-18","1600-2000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,174,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2110,1,0,0,1,1,2110,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.4025,0.371904557648868,0,0,1.59537872595517,0.543928330628184,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,175,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2657,1,0,0,1,1,2657,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.7095,2.4168207077343,0,0,1.04268730083819,0.471026507033128,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,11,176,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",3346,1,0,0,1,1,3346,"first year","Andropogon gerardii Vitm. (big bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,3.8205,2.5638493845518,0,0,2.19663099776311,0.657926053683353,"12-18","13-18","3346-5000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,177,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",84,1,0,0,1,1,84,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0,0,0.0133333333333333,0.0235853061601215,-0.594118980091401,0.519609853472491,"12-18","13-18","30-100","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,178,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",133,1,0,0,1,1,133,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0,0,0.0133333333333333,0.0235853061601215,-0.645508932036347,0.437500755733602,"12-18","13-18","133-160","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,179,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",210,1,0,0,1,1,210,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.0065,0.013,0.0133333333333333,0.0235853061601215,-0.304252901602701,0.42129515807335,"12-18","13-18","210-300","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,180,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",333,1,0,0,1,1,333,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0,0,0.0133333333333333,0.0235853061601215,-0.594118980091401,0.519609853472491,"12-18","13-18","330-400","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,181,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",529,1,0,0,1,1,529,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,2,6,0.006,0.00848528137423857,0.0133333333333333,0.0235853061601215,-0.292101619527179,0.671999376424817,"12-18","13-18","506-600","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,182,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",666,1,0,0,1,1,666,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0.0106666666666667,0.018475208614068,0.0133333333333333,0.0235853061601215,-0.106473370243359,0.50062980992061,"12-18","13-18","620-700","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,183,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",839,1,0,0,1,1,839,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0.0753333333333333,0.0741440040281973,0.0133333333333333,0.0235853061601215,1.24134166647135,0.585607174050993,"12-18","13-18","714-999","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,184,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1057,1,0,0,1,1,1057,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.1865,0.174862803363094,0.0133333333333333,0.0235853061601215,1.43816956676016,0.520083251804421,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,185,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1330,1,0,0,1,1,1330,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.4075,0.39316620743226,0.0133333333333333,0.0235853061601215,1.47344743088683,0.525219033246016,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,186,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1675,1,0,0,1,1,1675,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.276,0.312994142650199,0.0133333333333333,0.0235853061601215,1.23126864264704,0.492467790184961,"12-18","13-18","1600-2000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,187,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2110,1,0,0,1,1,2110,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.88,0.463833303389627,0.0133333333333333,0.0235853061601215,2.74843729478548,0.794362044835052,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,188,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2657,1,0,0,1,1,2657,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.6795,0.575482116721855,0.0133333333333333,0.0235853061601215,1.7040151075635,0.5618500410069,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,12,189,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",3346,1,0,0,1,1,3346,"first year","Schizachyrium scoparium (Michx.) Nash (little bluestem)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.9865,0.59131350962638,0.0133333333333333,0.0235853061601215,2.42283492858578,0.71017312122543,"12-18","13-18","3346-5000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,190,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",84,1,0,0,1,1,84,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0,0,0.07,0.171464281994822,-0.429042765404893,0.510226538585904,"12-18","13-18","30-100","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,191,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",133,1,0,0,1,1,133,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0,0,0.07,0.171464281994822,-0.466153997052622,0.427531644115073,"12-18","13-18","133-160","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,192,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",210,1,0,0,1,1,210,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.0305,0.061,0.07,0.171464281994822,-0.253591497590856,0.419882099049185,"12-18","13-18","210-300","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,193,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",333,1,0,0,1,1,333,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0,0,0.07,0.171464281994822,-0.429042765404893,0.510226538585904,"12-18","13-18","330-400","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,194,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",529,1,0,0,1,1,529,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,2,6,0.016,0.0226274169979695,0.07,0.171464281994822,-0.299149910968448,0.672259833493694,"12-18","13-18","506-600","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,195,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",666,1,0,0,1,1,666,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0.102666666666667,0.0974952990319704,0.07,0.171464281994822,0.188407433988316,0.501972075621226,"12-18","13-18","620-700","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,196,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",839,1,0,0,1,1,839,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,0.111333333333333,0.118563625675556,0.07,0.171464281994822,0.232113489229927,0.502993148437916,"12-18","13-18","714-999","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,197,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1057,1,0,0,1,1,1057,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.1165,0.133719856416315,0.07,0.171464281994822,0.265051939396122,0.420179293195549,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,198,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1330,1,0,0,1,1,1330,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.447,1.78627396181735,0.07,0.171464281994822,1.12773211993248,0.480255653383037,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,199,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1675,1,0,0,1,1,1675,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.351,0.76965879886263,0.07,0.171464281994822,2.35788511713562,0.69464777794715,"12-18","13-18","1600-2000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,200,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2110,1,0,0,1,1,2110,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.2095,0.709571466919764,0.07,0.171464281994822,2.25985657043425,0.672014252613409,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,201,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2657,1,0,0,1,1,2657,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,2.686,3.00975347827692,0.07,0.171464281994822,1.27780562737753,0.49830602773455,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,13,202,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",3346,1,0,0,1,1,3346,"first year","Sorghastrum nutans (L.) Nash (Indian grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,5.0055,5.12956720071652,0.07,0.171464281994822,1.41701954877113,0.517063886746643,"12-18","13-18","3346-5000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,14,210,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1057,1,0,0,1,1,1057,"first year","Bouteloua curtipendula (Michx.) Torr (side-oats gramma grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.0015,0.003,0,0,0.737054185538849,0.443829110287683,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,14,213,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2110,1,0,0,1,1,2110,"first year","Bouteloua curtipendula (Michx.) Torr (side-oats gramma grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.0025,0.005,0,0,0.737054185538849,0.443829110287683,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,14,214,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",2657,1,0,0,1,1,2657,"first year","Bouteloua curtipendula (Michx.) Torr (side-oats gramma grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,0.165,0.173085720574132,0,0,1.40524521850228,0.515402372872842,"12-18","13-18","2110-3000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,14,215,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",3346,1,0,0,1,1,3346,"first year","Bouteloua curtipendula (Michx.) Torr (side-oats gramma grass)","native perennial graminoid","perennial","graminoid","perennial graminoid","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.252,1.55042015810769,0,0,1.19037647371783,0.487516474125712,"12-18","13-18","3346-5000","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,216,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",84,1,0,0,1,1,84,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,1.34533333333333,0.283212523263597,1.46366666666667,2.0506145095231,-0.0604155544233864,0.50020277995646,"12-18","13-18","30-100","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,217,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",133,1,0,0,1,1,133,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.674,2.03441129895932,1.46366666666667,2.0506145095231,0.0928655644164963,0.417097867319386,"12-18","13-18","133-160","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,218,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",210,1,0,0,1,1,210,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,1.316,0.808550967265927,1.46366666666667,2.0506145095231,-0.0786388905489481,0.416975870422005,"12-18","13-18","210-300","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,219,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",333,1,0,0,1,1,333,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,1.24466666666667,0.512754652181073,1.46366666666667,2.0506145095231,-0.11085933700963,0.500682766255679,"12-18","13-18","330-400","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,220,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",529,1,0,0,1,1,529,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,2,6,6.896,4.67256161008071,1.46366666666667,2.0506145095231,1.76554829679888,0.861489215937256,"12-18","13-18","506-600","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,221,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",666,1,0,0,1,1,666,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,1.19066666666667,1.17726859014132,1.46366666666667,2.0506145095231,-0.131511142760997,0.500960843370572,"12-18","13-18","620-700","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,222,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",839,1,0,0,1,1,839,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,3,6,2.354,2.12284997114728,1.46366666666667,2.0506145095231,0.381748847837706,0.50809623237919,"12-18","13-18","714-999","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,223,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1057,1,0,0,1,1,1057,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,6.7805,3.11380940328723,1.46366666666667,2.0506145095231,1.91765261838168,0.600536244905973,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,224,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1330,1,0,0,1,1,1330,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,6.7065,6.22302313992162,1.46366666666667,2.0506145095231,1.1428100476956,0.481967406922368,"12-18","13-18","1000-1330","1","1 application total","1 application total","4","native seeded"
"Blumenthal_2003","2000 harvest",6,7,15,225,"tallgrass prairie",NA,"Midwest, USA","Udolls",15,15,"sucrose AND sawdust",1675,1,0,0,1,1,1675,"first year","Monarda fistulosa L. (wild bergamot)","native perennial forb subshrub","perennial","forb","perennial forb","one species","exotic & native","method unknown","total",NA,NA,4,NA,4,6,5.3065,3.29149869613625,1.46366666666667,2.0506145095231,1.34108151537383,0.506591648210535,"12-18","13-18","1600-2000","1","1 application total","1 application total","4","native seeded"
